, ROLL NO. ,M(CS)401,M401,CS401,CS402,CS403,HU481,M(CS)491,CS491,CS492,CS493, SGPA3 , SGPA4 , YGPA , DGPA , RESULT 
0, 10900113001 ,A,B,A,A,A,O,E,E,E,O,7.28,8.35,7.78,0.00,P
1, 10900113002 ,O,E,A,A,E,O,O,E,O,O,8.38,9.08,8.71,0.00,P
2, 10900113003 ,A,A,A,A,B,O,A,E,O,E,8.00,8.31,8.15,0.00,P
3, 10900113004 ,E,A,E,A,B,O,O,O,E,O,8.41,8.65,8.53,0.00,P
4, 10900113005 ,I,I,I,I,I,I,I,I,C,C,3.31,2.62,2.98,0.00,XP
5, 10900113006 ,E,A,B,B,B,O,E,O,E,E,8.17,8.15,8.16,0.00,P
6, 10900113007 ,E,B,E,B,A,E,E,O,E,O,7.38,8.38,7.85,0.00,P
7, 10900113008 ,B,D,B,C,C,E,B,E,E,E,5.72,7.00,6.33,0.00,XP
8, 10900113009 ,E,E,E,A,A,E,O,O,O,O,8.79,8.96,8.87,0.00,P
9, 10900113010 ,B,D,D,C,B,A,A,O,E,A,6.00,6.88,6.42,0.00,XP
10, 10900113011 ,C,C,B,D,C,A,A,E,E,E,7.17,6.88,7.04,0.00,P
11, 10900113012 ,F,F,F,F,D,A,B,A,E,A,4.83,4.58,4.71,0.00,XP
12, 10900113013 ,A,A,A,A,A,O,E,E,E,O,8.34,8.50,8.42,0.00,P
13, 10900113014 ,A,A,E,A,A,E,O,E,E,O,7.66,8.58,8.09,0.00,P
14, 10900113015 ,B,A,E,E,A,E,E,O,E,E,7.69,8.62,8.13,0.00,P
15, 10900113016 ,C,B,A,D,C,B,A,O,E,O,7.41,7.23,7.33,0.00,P
16, 10900113017 ,A,B,B,B,B,O,E,O,E,O,7.86,8.00,7.93,0.00,P
17, 10900113018 ,E,E,E,A,B,A,E,O,O,O,7.59,8.69,8.11,0.00,P
18, 10900113019 ,A,A,B,B,C,A,A,O,O,O,7.59,7.88,7.73,0.00,P
19, 10900113020 ,B,B,B,C,B,O,A,E,O,E,7.24,7.65,7.44,0.00,P
20, 10900113021 ,B,C,B,C,B,O,A,E,O,E,6.72,7.50,7.09,0.00,P
21, 10900113022 ,A,C,C,F,B,A,A,O,E,A,7.03,6.62,6.84,0.00,XP
22, 10900113023 ,A,A,E,A,B,E,E,E,E,E,8.14,8.31,8.22,0.00,P
23, 10900113025 ,D,D,D,F,F,B,B,E,E,B,5.14,5.08,5.11,0.00,XP
24, 10900113026 ,E,O,E,E,E,O,O,O,E,O,8.72,9.42,9.05,0.00,P
25, 10900113027 ,C,C,B,A,B,A,E,E,O,E,7.59,7.62,7.60,0.00,P
26, 10900113028 ,C,C,B,A,B,E,E,E,O,A,7.31,7.62,7.45,0.00,P
27, 10900113029 ,D,F,F,A,D,O,B,E,E,B,6.24,5.88,6.07,0.00,XP
28, 10900113030 ,B,C,C,C,C,A,A,E,E,O,7.38,7.08,7.24,0.00,P
29, 10900113031 ,C,C,B,E,C,E,E,E,E,E,7.97,7.62,7.80,0.00,P
30, 10900113032 ,C,C,C,E,A,A,A,O,E,A,7.66,7.69,7.67,0.00,P
31, 10900113033 ,E,O,A,O,C,O,E,O,E,O,8.17,8.96,8.55,0.00,P
32, 10900113034 ,E,C,C,B,D,A,A,A,E,E,7.41,7.08,7.25,0.00,P
33, 10900113035 ,C,C,D,D,D,O,A,E,O,A,5.52,6.65,6.05,0.00,XP
34, 10900113036 ,A,B,E,E,B,E,E,E,O,O,8.14,8.46,8.29,0.00,P
35, 10900113037 ,C,C,F,C,D,C,B,E,E,B,6.03,5.96,6.00,0.00,XP
36, 10900113038 ,A,E,B,E,B,E,E,E,E,O,8.00,8.46,8.22,0.00,P
37, 10900113039 ,A,E,A,A,B,E,E,E,E,O,7.93,8.42,8.16,0.00,P
38, 10900113040 ,A,C,B,E,A,O,O,E,E,O,7.72,8.27,7.98,0.00,P
39, 10900113041 ,B,B,B,A,C,E,O,E,E,O,6.59,7.81,7.16,0.00,P
40, 10900113042 ,C,D,C,A,C,E,A,E,E,A,6.24,7.08,6.64,0.00,XP
41, 10900113043 ,E,A,B,E,B,E,E,A,O,A,8.17,8.23,8.20,0.00,P
42, 10900113044 ,D,F,F,C,C,B,B,A,A,B,4.86,5.35,5.09,0.00,XP
43, 10900113045 ,B,B,D,B,C,A,B,A,A,B,6.90,6.85,6.87,0.00,XP
44, 10900113046 ,D,D,B,B,D,E,A,A,E,B,6.55,6.65,6.60,0.00,P
45, 10900113047 ,C,A,B,E,A,E,A,E,E,O,6.55,8.27,7.36,0.00,P
46, 10900113048 ,A,A,A,E,B,E,O,E,O,O,7.62,8.54,8.05,0.00,P
47, 10900113049 ,B,C,B,C,B,E,O,E,E,E,7.17,7.42,7.29,0.00,P
48, 10900113050 ,C,C,B,E,C,E,E,A,E,A,5.69,7.46,6.53,0.00,XP
49, 10900113051 ,C,C,F,E,B,E,E,A,E,E,7.55,7.12,7.35,0.00,XP
50, 10900113052 ,D,C,F,C,D,A,B,A,A,A,5.10,5.96,5.51,0.00,XP
51, 10900113053 ,D,D,F,C,C,A,B,A,E,B,5.38,5.96,5.65,0.00,XP
52, 10900113054 ,B,C,D,E,A,E,O,A,O,O,7.97,7.88,7.93,0.00,P
53, 10900113055 ,O,E,E,E,A,E,O,E,O,O,8.48,9.12,8.78,0.00,P
54, 10900113056 ,D,D,D,C,C,A,B,A,A,B,6.86,6.23,6.56,0.00,P
55, 10900113057 ,F,C,F,F,F,A,B,A,A,A,5.38,4.65,5.04,0.00,XP
56, 10900113058 ,E,B,B,E,A,O,O,A,E,O,8.34,8.42,8.38,0.00,P
57, 10900113059 ,A,A,A,A,B,E,O,E,E,E,8.17,8.23,8.20,0.00,P
58, 10900113060 ,C,I,B,C,C,A,A,E,E,B,5.97,6.27,6.11,0.00,XP
59, 10900113061 ,D,C,D,D,D,B,B,E,A,B,4.90,6.08,5.45,0.00,XP
60, 10900113062 ,C,C,F,C,C,E,E,E,A,A,6.72,6.42,6.58,0.00,XP
61, 10900113063 ,E,B,B,B,B,E,O,E,O,A,7.38,7.88,7.62,0.00,P
62, 10900113064 ,E,A,A,B,A,E,O,O,O,E,8.17,8.46,8.31,0.00,P
63, 10900113065 ,B,B,C,D,B,A,A,E,A,B,6.45,6.92,6.67,0.00,P
64, 10900113066 ,B,B,B,C,C,E,E,E,A,A,6.24,7.23,6.71,0.00,XP
65, 10900113067 ,B,B,A,A,A,A,E,O,A,E,7.52,8.04,7.76,0.00,P
66, 10900113068 ,B,B,A,A,B,A,E,E,A,A,7.69,7.73,7.71,0.00,P
67, 10900113069 ,E,C,E,E,B,E,O,O,O,O,8.83,8.50,8.67,0.00,P
68, 10900113070 ,C,C,C,B,C,E,E,E,A,B,6.83,6.96,6.89,0.00,P
69, 10900113071 ,E,C,A,A,B,O,E,E,O,A,7.59,8.04,7.80,0.00,P
70, 10900113072 ,E,C,A,B,C,E,O,E,O,A,7.69,7.69,7.69,0.00,P
71, 10900113073 ,E,D,B,D,C,A,B,A,A,B,6.41,6.62,6.51,0.00,P
72, 10900113074 ,C,D,B,C,C,E,A,E,A,B,5.66,6.73,6.16,0.00,XP
73, 10900113075 ,A,D,C,C,C,E,E,E,E,A,6.28,6.96,6.60,0.00,P
74, 10900113076 ,O,A,E,A,B,O,O,O,O,E,7.34,8.73,8.00,0.00,P
75, 10900113077 ,A,D,C,C,D,E,E,E,E,A,6.66,6.81,6.73,0.00,P
76, 10900113078 ,C,F,B,D,D,E,A,A,E,B,5.38,5.96,5.65,0.00,XP
77, 10900113079 ,E,E,O,A,A,E,E,O,O,O,9.03,9.04,9.04,0.00,P
78, 10900113080 ,O,B,A,A,A,E,E,E,E,O,8.66,8.42,8.55,0.00,P
79, 10900113081 ,A,D,B,C,C,A,E,O,A,E,6.90,7.08,6.98,0.00,P
80, 10900113082 ,D,F,D,D,F,A,B,A,A,B,4.21,5.00,4.58,0.00,XP
81, 10900113083 ,E,O,O,E,E,E,O,O,O,O,9.34,9.54,9.44,0.00,P
82, 10900113084 ,E,B,I,I,I,E,E,E,A,O,7.66,5.73,6.75,0.00,XP
83, 10900113085 ,E,C,C,B,C,A,E,E,A,A,7.03,7.19,7.11,0.00,P
84, 10900113086 ,B,D,E,B,B,E,E,E,E,E,7.62,7.62,7.62,0.00,P
85, 10900113087 ,O,B,A,C,B,E,E,E,E,E,7.72,7.88,7.80,0.00,P
86, 10900113088 ,O,E,A,C,C,A,E,E,A,E,7.52,7.88,7.69,0.00,P
87, 10900113089 ,E,A,E,B,A,A,E,E,E,O,7.45,8.38,7.89,0.00,P
88, 10900113091 ,A,C,C,D,C,A,A,E,E,B,7.17,6.77,6.98,0.00,P
89, 10900113092 ,E,A,A,B,A,O,E,E,E,E,8.17,8.35,8.25,0.00,P
90, 10900113093 ,E,B,A,B,B,A,O,A,E,A,7.90,7.77,7.84,0.00,P
91, 10900113094 ,B,B,C,B,D,E,E,E,A,E,7.03,7.19,7.11,0.00,P
92, 10900113096 ,B,D,C,C,D,E,E,A,E,E,7.14,6.73,6.95,0.00,P
93, 10900113097 ,B,F,F,D,D,A,E,A,E,E,6.03,5.58,5.82,0.00,XP
94, 10900113098 ,I,I,I,I,D,I,I,I,B,B,2.00,3.23,2.58,0.00,XP
95, 10900113099 ,A,D,D,B,C,E,O,E,E,A,7.03,7.04,7.04,0.00,XP
96, 10900113100 ,O,A,E,A,A,E,O,E,A,O,8.14,8.65,8.38,0.00,P
97, 10900113101 ,E,A,A,B,B,E,O,E,O,O,8.07,8.31,8.18,0.00,P
98, 10900113102 ,E,A,E,B,C,E,O,E,E,E,8.21,8.12,8.16,0.00,P
99, 10900113103 ,E,C,D,C,C,A,A,E,E,E,6.90,7.04,6.96,0.00,P
100, 10900113104 ,B,D,C,F,D,B,B,A,A,E,6.62,5.81,6.24,0.00,XP
101, 10900113105 ,E,A,E,B,C,A,A,A,E,A,7.31,7.81,7.55,0.00,P
102, 10900113106 ,E,B,C,B,B,O,A,E,E,E,7.41,7.77,7.58,0.00,P
103, 10900113107 ,F,F,F,F,F,C,B,A,A,B,3.55,3.81,3.67,0.00,XP
104, 10900113108 ,O,E,E,A,B,E,E,O,O,O,8.52,8.85,8.67,0.00,P
105, 10900113109 ,O,A,E,B,A,E,E,E,E,O,7.90,8.54,8.20,0.00,P
106, 10900113110 ,O,A,A,B,A,E,E,E,O,E,8.24,8.42,8.33,0.00,P
107, 10900113111 ,O,E,O,E,E,O,O,O,O,O,8.79,9.54,9.15,0.00,P
108, 10900113112 ,O,A,E,A,A,E,E,E,E,E,7.69,8.62,8.13,0.00,P
109, 10900113113 ,E,C,B,C,B,A,E,E,A,E,6.41,7.38,6.87,0.00,P
110, 10900113114 ,O,A,E,C,A,A,E,E,O,E,7.72,8.31,8.00,0.00,P
111, 10900113115 ,B,C,D,D,C,C,B,E,A,A,6.28,6.38,6.33,0.00,XP
112, 10900113116 ,E,C,B,D,C,E,O,A,O,A,6.86,7.19,7.02,0.00,P
113, 10900113117 ,O,B,C,C,B,A,O,A,E,E,7.31,7.54,7.42,0.00,P
114, 10900114124 ,C,B,C,B,A,B,E,A,A,E,6.69,7.35,7.00,0.00,P
115, 10900114126 ,E,D,C,C,A,A,E,E,A,A,6.28,7.19,6.71,0.00,P
116, 10900114127 ,O,C,A,B,C,E,E,E,E,E,7.10,7.73,7.40,0.00,P
117, 10900114128 ,A,F,D,C,D,B,B,B,A,A,5.45,5.77,5.60,0.00,XP
118, 10900114129 ,C,D,D,C,D,A,B,B,A,A,5.38,6.15,5.75,0.00,XP
119, 10900114130 ,C,F,F,F,D,B,B,A,A,E,5.83,4.81,5.35,0.00,XP
120, 10900114131 ,A,D,C,C,C,A,A,A,A,B,5.97,6.62,6.27,0.00,XP
121, 10900114132 ,F,D,D,D,D,E,E,B,A,E,5.59,5.92,5.75,0.00,XP
122, 10900114133 ,A,B,B,C,D,A,A,A,A,A,6.41,6.96,6.67,0.00,P
123, 10900114134 ,F,F,F,F,D,C,B,B,A,B,5.00,4.19,4.62,0.00,XP
124, 10900114135 ,E,F,C,B,B,B,E,A,E,E,5.52,6.73,6.09,0.00,XP
125, 10900114136 ,D,F,F,F,D,A,B,A,E,E,4.93,4.88,4.91,0.00,XP
126, 10900114137 ,E,C,C,B,B,B,A,A,A,E,6.90,7.23,7.05,0.00,P
127, 10900114138 ,A,C,B,B,B,E,E,E,E,E,7.45,7.62,7.53,0.00,P
128, 10900114139 ,E,D,C,B,C,E,O,E,O,E,6.90,7.38,7.13,0.00,P
129, 10900114140 ,B,F,D,C,B,A,A,A,A,E,6.03,6.27,6.15,0.00,XP
130, 10900114141 ,A,C,D,B,A,A,E,A,E,E,6.79,7.38,7.07,0.00,P
131, 10900114142 ,E,D,F,B,C,E,O,A,E,A,6.66,6.69,6.67,0.00,XP
132, 10900114143 ,D,F,F,F,D,B,A,B,A,A,4.66,4.62,4.64,0.00,XP
133, 10900114144 ,C,C,B,E,B,A,O,E,E,E,7.59,7.73,7.65,0.00,P
134, 10900213018 ,O,A,A,A,E,O,E,E,E,O,9.17,8.81,9.00,0.00,P
135, 10900213021 ,O,E,A,A,E,E,O,E,E,O,8.66,8.92,8.78,0.00,P
136, 10900213035 ,E,E,E,A,A,E,E,E,E,O,8.79,8.77,8.78,0.00,P
137, 10900213038 ,O,A,B,B,B,E,E,E,E,E,7.66,8.08,7.85,0.00,P
138, 10900213057 ,O,O,A,A,E,E,E,E,O,O,8.07,9.12,8.56,0.00,P
139, 10900213073 ,O,E,A,A,E,O,E,E,O,O,8.34,9.04,8.67,0.00,P
140, 10900313013 ,O,A,A,B,A,A,E,E,E,E,8.00,8.27,8.13,0.00,P
